id,input_text,output_text,direction ,tone ,audience,cultural_ context
1,Bhai expat life e homesickness hit korse,Dude homesickness just hit me hard in expat life,banglish_to_english,casual,diaspora,Common experience of Bengalis abroad missing home culture and family connections
2,The traffic jam here is absolutely insane,Ekhane traffic jam ta ekdom pagol type,english_to_banglish,casual,traveler,Introducing foreigners to Dhaka's notorious traffic culture with authentic local expression
3,Khala office politics ta explain koren,Aunty please explain the office politics situation,banglish_to_english,professional,mixed_households,Navigating workplace dynamics while respecting Bengali family hierarchy and seeking guidance
4,I need to understand Bengali wedding customs,Ami Bengali biye er custom gula bujhte chai,english_to_banglish,professional,expat_professional,Foreign professionals/diplomats seeking cultural integration for business relationships
5,Mama tumi ki NFT investment e interested,Bro are you interested in NFT investments,banglish_to_english,casual,gen_z_diaspora,Modern financial conversations among tech-savvy Bengali youth mixing traditional address with contemporary topics
6,The monsoon season hits different here,Borsha kal ta ekhane alada feel,english_to_banglish,casual,traveler,Helping foreigners express the unique emotional experience of Bengali monsoons
7,Dada client meeting e code-switching korte hobe,Big brother we'll need to code-switch in the client meeting,banglish_to_english,professional,business_professional,Professional Bengalis discussing strategic language adaptation for international business contexts
8,Your content about Dhaka street food is fire,Tomar Dhaka street food er content ta darun,english_to_banglish,casual,influencer,International creators receiving praise for authentic Bengali cultural content
9,Nana rickshaw fare ta negotiate korte parben,Grandpa can you negotiate the rickshaw fare,banglish_to_english,casual,mixed_households,Cross-cultural families learning local customs through elder Bengali family members
10,I'm struggling with the humidity levels,Ami ei moisture er sathe adjust korte parchi na,english_to_banglish,unhinged,expat_professional,Foreign workers expressing climate adaptation challenges in authentic local terms
11,Apnar thesis e Bengali linguistics add korun,Add Bengali linguistics to your thesis research,banglish_to_english,professional,researcher,Academic guidance for international scholars studying South Asian language patterns
12,The call to prayer timing feels so peaceful,Azan er shomoy ta khub shanti lagey,english_to_banglish,casual,traveler,Foreigners expressing appreciation for Islamic cultural elements in Bangladesh
13,Bon startup funding ta ki bhabe manage korbe,Sister how will you manage the startup funding,banglish_to_english,professional,gen_z_diaspora,Bengali entrepreneurs discussing business strategy while maintaining familial address patterns
14,Embassy visa process is absolutely brutal,Embassy er visa process ta pura brutal,english_to_banglish,unhinged,expat_professional,International workers venting about bureaucratic challenges using local slang intensity
15,Ma cooking secret ta share koro please,Mom please share your cooking secrets,banglish_to_english,casual,mixed_households,Cross-cultural families preserving Bengali culinary traditions through intergenerational knowledge transfer
16,Your Bengali pronunciation is getting better,Tomar Bengali pronunciation aro bhalo hoiteche,english_to_banglish,casual,researcher,Encouraging international academics learning Bengali for field research authenticity
17,Bhai cryptocurrency trading e risk ache,Dude there are risks in cryptocurrency trading,banglish_to_english,professional,business_professional,Financial advisory conversations mixing traditional Bengali respect with modern investment discussions
18,The festival atmosphere is absolutely magical,Utshob er environment ta pura magic type,english_to_banglish,unhinged,influencer,International content creators describing Bengali cultural celebrations with authentic emotional intensity
19,Uncle tumi ki LinkedIn e active thako,Uncle are you active on LinkedIn,banglish_to_english,professional,mixed_households,Professional networking conversations respecting Bengali age hierarchy while discussing modern platforms
20,Remote work culture here feels different,Remote work er culture ekhane alada lagey,english_to_banglish,casual,expat_professional,Foreign professionals observing local work culture adaptations during global remote work trends
