id,input_text,output_text,direction,tone,audience,cultural_context
136,Daraz e order kora product ta fake chilo ar return policy hopeless,The product I ordered from Daraz was fake and the return policy is hopeless,banglish_to_english,frustrated,expats,E-commerce trust challenges—highlighting consumer protection gaps in Bangladesh's rapidly growing online retail market
137,Your appreciation for our nakshi kantha artistry moves me to tears,Amader nakshi kantha shilpokormo ta tomar je recognition seta amake kadte korche,english_to_banglish,emotional,researchers,Traditional embroidery reverence—profound emotional response to outsider appreciation of Bangladesh's iconic quilting heritage
138,Chachato bhai MIT e full scholarship peyeche engineering e,Cousin brother got full scholarship to MIT for engineering,banglish_to_english,proud,diaspora,Academic achievement celebration—family honor through prestigious international university admission with financial support
139,Pahela Baishakh e Ramna Batamul e cultural program attend korte chai,Want to attend cultural program at Ramna Batamul on Pahela Baishakh,banglish_to_english,excited,travelers,New Year celebration participation—desire to experience Bangladesh's premier cultural venue during the nation's most significant secular festival
140,The monsoon cricket you described captures our rainy season soul,Je monsoon cricket describe korecho seta amader brishti moshumer atma capture kore,english_to_banglish,nostalgic,influencers,Seasonal sport tradition—recognizing authentic representation of how rain transforms Bangladesh's beloved game into unique cultural experience
141,Mama Qatar e World Cup construction e kaj kore family support korchen,Uncle is supporting family by working in Qatar World Cup construction,banglish_to_english,respectful,diaspora,Gulf migration labor reality—acknowledging sacrificial overseas work that sustains Bangladeshi families through remittance economy
142,Village e solar panel setup dekhe rural electrification progress e amazed hoye gechi,Got amazed seeing solar panel setup in village showing rural electrification progress,banglish_to_english,hopeful,professionals,Renewable energy advancement—witnessing sustainable development initiatives transforming Bangladesh's countryside infrastructure
143,Your sensitivity to our Liberation War stories deserves deepest respect,Amader Muktijuddho er golpo gulo tomar je sensitivity ache seta deepest respect deserve kore,english_to_banglish,moved,researchers,Historical trauma recognition—appreciating profound understanding of Bangladesh's foundational independence struggle and its ongoing emotional significance
144,Eid er age tailoring shop e dress fit korte giye crowd e suffocate hoye gechi,Got suffocated in the crowd while getting dress fitted at tailoring shop before Eid,banglish_to_english,overwhelmed,mixed_household,Festival preparation chaos—pre-celebration tailoring rush creating claustrophobic experiences in traditional clothing customization services
145,Sundarbans tour e Royal Bengal Tiger dekhar chance miss kore disappointed hoye gechi,Got disappointed missing the chance to see Royal Bengal Tiger during Sundarbans tour,banglish_to_english,disappointed,travelers,Wildlife tourism expectation—unique frustration of missing Bangladesh's iconic endangered species in its natural mangrove habitat
146,The way you understand our jatra folk theater shows cultural depth,Amader jatra natak ta je bhabe bujho seta cultural depth dekhae,english_to_banglish,impressed,influencers,Traditional performance appreciation—recognizing sophisticated understanding of Bangladesh's rural theatrical art form and its social commentary
147,Didi Toronto theke Bangladeshi grocery items pathiye diyeche,Sister sent Bangladeshi grocery items from Toronto,banglish_to_english,grateful,diaspora,Transnational food care—overseas family members maintaining cultural culinary connections through specialty ingredient sharing
148,Load shedding e online class miss kore academic pressure barche,Academic pressure is increasing due to missing online classes because of load shedding,banglish_to_english,stressed,professionals,Infrastructure education impact—power outage challenges affecting digital learning continuity and academic performance
149,Your documentation of our boat race traditions feels authentically Bengali,Amader nouka baich er tradition ta tomar documentation e authentically Bengali lagche,english_to_banglish,appreciative,researchers,Water sport heritage recognition—praising genuine representation of Bangladesh's traditional riverine racing culture
150,Khalamama fisherman theke businessman howar journey ta inspiring,Uncle's journey from fisherman to businessman is inspiring,banglish_to_english,motivated,mixed_household,Economic mobility narrative—celebrating entrepreneurial transformation within traditional occupational contexts
151,Chittagong Hill Tracts e tribal culture experience korte giye mind-blown hoye gechi,Got mind-blown experiencing tribal culture in Chittagong Hill Tracts,banglish_to_english,amazed,travelers,Indigenous diversity encounter—profound impact of experiencing Bangladesh's ethnic minority cultures in their traditional territories
152,Your respect for our Baul music philosophy touches the depths of my soul,Amader Baul ganer darshonik darshan ta tomar je shoroddha seta amar atmar gobhir e chhoy jae,english_to_banglish,deeply_moved,influencers,Mystical music reverence—spiritual response to outsider appreciation of Bangladesh's Sufi folk tradition and its philosophical depth
153,Baba retirement er por village e poultry farm setup koreche successfully,Dad successfully set up poultry farm in village after retirement,banglish_to_english,proud,diaspora,Rural entrepreneurship success—elderly family members achieving agricultural business goals in countryside settings
154,Durga Puja immersion procession e participate kore emotional hoye porechi,Got emotional participating in Durga Puja immersion procession,banglish_to_english,moved,mixed_household,Religious ceremony participation—emotional involvement in Hindu festival concluding rituals creating spiritual connection
155,The authenticity of your Bangladesh village life documentation is remarkable,Tomar Bangladesh er gram jibon er documentation er je authenticity seta remarkable,english_to_banglish,impressed,researchers,Rural life representation quality—acknowledging exceptional genuine portrayal of authentic countryside experiences
156,Sylhet er cha bagan e first time tea plucking experience kore thrilled hoye gechi,Got thrilled experiencing tea plucking for the first time in Sylhet tea gardens,banglish_to_english,excited,travelers,Agricultural tourism participation—hands-on involvement in Bangladesh's signature highland plantation industry
157,Nani WhatsApp e voice message pathiye recipe explain korchen,Grandma is explaining recipe by sending voice messages on WhatsApp,banglish_to_english,heartwarming,diaspora,Digital elderly adaptation—grandmothers embracing technology to maintain culinary knowledge transfer across distances
158,Your understanding of our river-centric culture runs oceanic deep,Amader nodi-kendrik sangskriti ta tomar je bujhabujhi seta samudriker moto gobhir,english_to_banglish,poetic,researchers,Geographical culture appreciation—metaphorically deep recognition of how rivers fundamentally shape Bangladeshi civilization and identity
159,Garments export business e success dekhe proud feel korchi Bangladesh er jonno,Feeling proud for Bangladesh seeing success in garments export business,banglish_to_english,patriotic,professionals,Industrial achievement pride—national satisfaction with Bangladesh's textile industry global competitiveness and economic contribution
160,The monsoon melancholy you captured in that poem is pure Bangladesh emotion,Je monsoon melancholy tumi sei kobitate capture korecho seta pure Bangladesh emotion,english_to_banglish,moved,influencers,Seasonal mood documentation—recognizing authentic representation of the complex emotional relationship Bangladeshis have with rainy season
