id,input_text,output_text,direction,tone,audience,cultural__context,cultural_context,input_language,output_language,input_length,output_length,input_words,output_words,length_ratio,word_ratio,has_question,has_exclamation,is_greeting,has_cultural_term,complexity
1,Bhai expat life e homesickness hit korse,Dude homesickness just hit me hard in expat life,banglish_to_english,casual,general,Common experience of Bengalis abroad missing home culture and family connections,general,english,english,40,48,7,9,1.2,1.2857142857142858,False,False,False,True,0.425
2,The traffic jam here is absolutely insane,Ekhane traffic jam ta ekdom pagol type,banglish_to_english,casual,general,Introducing foreigners to Dhaka's notorious traffic culture with authentic local expression,general,english,english,41,38,7,7,0.926829268292683,1.0,False,False,False,False,0.22799999999999998
3,Khala office politics ta explain koren,Aunty please explain the office politics situation,banglish_to_english,professional,general,Navigating workplace dynamics while respecting Bengali family hierarchy and seeking guidance,general,english,english,38,50,6,7,1.3157894736842106,1.1666666666666667,False,False,False,True,0.404
4,I need to understand Bengali wedding customs,Ami Bengali biye er custom gula bujhte chai,banglish_to_english,professional,general,Foreign professionals/diplomats seeking cultural integration for business relationships,general,english,english,44,43,7,8,0.9772727272727273,1.1428571428571428,False,False,False,False,0.237
5,Mama tumi ki NFT investment e interested,Bro are you interested in NFT investments,banglish_to_english,casual,general,Modern financial conversations among tech-savvy Bengali youth mixing traditional address with contemporary topics,general,banglish,english,40,41,7,7,1.025,1.0,False,False,False,True,0.425
6,The monsoon season hits different here,Borsha kal ta ekhane alada feel,banglish_to_english,casual,general,Helping foreigners express the unique emotional experience of Bengali monsoons,general,english,english,38,31,6,6,0.8157894736842105,1.0,False,False,False,False,0.204
7,Dada client meeting e code-switching korte hobe,Big brother we'll need to code-switch in the client meeting,banglish_to_english,professional,general,Professional Bengalis discussing strategic language adaptation for international business contexts,general,english,english,47,59,7,10,1.2553191489361701,1.4285714285714286,False,False,False,True,0.446
8,Your content about Dhaka street food is fire,Tomar Dhaka street food er content ta darun,banglish_to_english,casual,general,International creators receiving praise for authentic Bengali cultural content,general,english,english,44,43,8,8,0.9772727272727273,1.0,False,False,False,False,0.252
9,Nana rickshaw fare ta negotiate korte parben,Grandpa can you negotiate the rickshaw fare,banglish_to_english,casual,general,Cross-cultural families learning local customs through elder Bengali family members,general,english,english,44,43,7,7,0.9772727272727273,1.0,False,False,False,True,0.437
10,I'm struggling with the humidity levels,Ami ei moisture er sathe adjust korte parchi na,banglish_to_english,neutral,general,Foreign workers expressing climate adaptation challenges in authentic local terms,general,english,english,39,47,6,9,1.205128205128205,1.5,False,False,False,False,0.207
11,Apnar thesis e Bengali linguistics add korun,Add Bengali linguistics to your thesis research,banglish_to_english,professional,general,Academic guidance for international scholars studying South Asian language patterns,general,english,english,44,47,7,7,1.0681818181818181,1.0,False,False,False,False,0.237
12,The call to prayer timing feels so peaceful,Azan er shomoy ta khub shanti lagey,banglish_to_english,casual,general,Foreigners expressing appreciation for Islamic cultural elements in Bangladesh,general,english,english,43,35,8,7,0.813953488372093,0.875,False,False,False,False,0.249
13,Bon startup funding ta ki bhabe manage korbe,Sister how will you manage the startup funding,banglish_to_english,professional,general,Bengali entrepreneurs discussing business strategy while maintaining familial address patterns,general,english,english,44,46,8,8,1.0454545454545454,1.0,False,False,False,True,0.452
14,Embassy visa process is absolutely brutal,Embassy er visa process ta pura brutal,banglish_to_english,neutral,general,International workers venting about bureaucratic challenges using local slang intensity,general,english,english,41,38,6,7,0.926829268292683,1.1666666666666667,False,False,False,False,0.21299999999999997
15,Ma cooking secret ta share koro please,Mom please share your cooking secrets,banglish_to_english,casual,general,Cross-cultural families preserving Bengali culinary traditions through intergenerational knowledge transfer,general,english,english,38,37,7,6,0.9736842105263158,0.8571428571428571,False,False,False,False,0.21899999999999997
16,Your Bengali pronunciation is getting better,Tomar Bengali pronunciation aro bhalo hoiteche,banglish_to_english,casual,general,Encouraging international academics learning Bengali for field research authenticity,general,english,banglish,44,46,6,6,1.0454545454545454,1.0,False,False,False,False,0.222
17,Bhai cryptocurrency trading e risk ache,Dude there are risks in cryptocurrency trading,banglish_to_english,professional,general,Financial advisory conversations mixing traditional Bengali respect with modern investment discussions,general,english,english,39,46,6,7,1.1794871794871795,1.1666666666666667,False,False,False,True,0.40700000000000003
18,The festival atmosphere is absolutely magical,Utshob er environment ta pura magic type,banglish_to_english,neutral,general,International content creators describing Bengali cultural celebrations with authentic emotional intensity,general,english,english,45,40,6,7,0.8888888888888888,1.1666666666666667,False,False,False,False,0.225
19,Uncle tumi ki LinkedIn e active thako,Uncle are you active on LinkedIn,banglish_to_english,professional,general,Professional networking conversations respecting Bengali age hierarchy while discussing modern platforms,general,banglish,english,37,32,7,6,0.8648648648648649,0.8571428571428571,False,False,False,False,0.216
20,Remote work culture here feels different,Remote work er culture ekhane alada lagey,banglish_to_english,casual,general,Foreign professionals observing local work culture adaptations during global remote work trends,general,english,english,40,41,6,7,1.025,1.1666666666666667,False,False,False,False,0.21
