2025-08-06 03:11:01,335 | dhk_align | DEBUG | Slang normalization map built
2025-08-06 03:11:01,335 | dhk_align | DEBUG | Pattern matchers built
2025-08-06 03:11:01,336 | dhk_align | DEBUG | Compound splitting rules built
2025-08-06 03:11:01,336 | dhk_align | INFO | Initialized empty adaptive cache
2025-08-06 03:11:01,336 | dhk_align | INFO | Enhanced translation engine initialized
2025-08-06 03:11:01,339 | dhk_align | INFO | 🚀 STARTUP: DHK Align WRAITH Edition initializing...
2025-08-06 03:11:01,343 | dhk_align | INFO | Performance metric: database_connection
2025-08-06 03:11:01,344 | dhk_align | INFO | Database operation: schema_init
2025-08-06 03:11:01,344 | dhk_align | INFO | 🚀 STARTUP: Database schema initialized successfully
2025-08-06 03:11:01,344 | dhk_align | INFO | Performance metric: database_initialization
2025-08-06 03:11:01,344 | dhk_align | INFO | 🚀 STARTUP: Enhanced translator engine connected to database
2025-08-06 03:11:01,344 | dhk_align | INFO | 🚀 STARTUP: Dataset file not found: data/combined_dataset_final_sequential.csv, creating sample data...
2025-08-06 03:11:01,345 | dhk_align | INFO | Performance metric: database_connection
2025-08-06 03:11:01,345 | dhk_align | INFO | 🚀 STARTUP: Sample dataset created: 11 translations
2025-08-06 03:11:01,345 | dhk_align | INFO | Performance metric: application_startup
2025-08-06 03:11:01,345 | dhk_align | INFO | 🚀 STARTUP: DHK Align WRAITH ready! (11 translations loaded)
2025-08-06 03:11:01,345 | dhk_align | INFO | 🚀 STARTUP: 7-step enhanced translation chain active
2025-08-06 03:11:03,671 | dhk_align | INFO | 👋 SHUTDOWN: DHK Align WRAITH shutting down gracefully...
2025-08-06 03:11:04,359 | dhk_align | DEBUG | Slang normalization map built
2025-08-06 03:11:04,360 | dhk_align | DEBUG | Pattern matchers built
2025-08-06 03:11:04,360 | dhk_align | DEBUG | Compound splitting rules built
2025-08-06 03:11:04,360 | dhk_align | INFO | Initialized empty adaptive cache
2025-08-06 03:11:04,360 | dhk_align | INFO | Enhanced translation engine initialized
2025-08-06 03:11:04,363 | dhk_align | INFO | 🚀 STARTUP: DHK Align WRAITH Edition initializing...
2025-08-06 03:11:04,364 | dhk_align | INFO | Performance metric: database_connection
2025-08-06 03:11:04,364 | dhk_align | INFO | Database operation: schema_init
2025-08-06 03:11:04,364 | dhk_align | INFO | 🚀 STARTUP: Database schema initialized successfully
2025-08-06 03:11:04,364 | dhk_align | INFO | Performance metric: database_initialization
2025-08-06 03:11:04,364 | dhk_align | INFO | 🚀 STARTUP: Enhanced translator engine connected to database
2025-08-06 03:11:04,364 | dhk_align | INFO | 🚀 STARTUP: Dataset file not found: data/combined_dataset_final_sequential.csv, creating sample data...
2025-08-06 03:11:04,364 | dhk_align | INFO | Performance metric: database_connection
2025-08-06 03:11:04,365 | dhk_align | INFO | 🚀 STARTUP: Sample dataset created: 11 translations
2025-08-06 03:11:04,365 | dhk_align | INFO | Performance metric: application_startup
2025-08-06 03:11:04,365 | dhk_align | INFO | 🚀 STARTUP: DHK Align WRAITH ready! (11 translations loaded)
2025-08-06 03:11:04,365 | dhk_align | INFO | 🚀 STARTUP: 7-step enhanced translation chain active
2025-08-06 03:13:20,148 | dhk_align | DEBUG | Slang normalization map built
2025-08-06 03:13:20,149 | dhk_align | DEBUG | Pattern matchers built
